"SERIES","Series trimestrales. B01_T01","Series trimestrales. B01_T05","Series trimestrales. B01_T06","Series trimestrales. B01_T07","Series trimestrales. B01_T08","Series trimestrales. B01_T09","Series trimestrales. B01_T10","Series trimestrales. B01_T11","Series trimestrales. B01_T12","Series trimestrales. B01_T13","Series trimestrales. B01_T14","Series trimestrales. B01_T15","Series trimestrales. B01_T16","Series trimestrales. B01_T17","Series trimestrales. B01_T18","Series trimestrales. B01_T19","Series trimestrales. B01_T20","Series trimestrales. B01_T21","Series trimestrales. B01_T22","Series trimestrales. B01_T23","Series trimestrales. B01_T24","Series trimestrales. B01_T25","Series trimestrales. B01_T26","Series trimestrales. B01_T27","Series trimestrales. B01_T28","Series trimestrales. B01_T30","Series trimestrales. B01_T31","Series trimestrales. B01_T32","Series trimestrales. B01_T33","Series trimestrales. B01_T34","Series trimestrales. B01_T35","Series trimestrales. B01_T36","Series trimestrales. B01_T37","Series trimestrales. B01_T38","Series trimestrales. B01_T39","Series trimestrales. B01_T40","Series trimestrales. B01_T41","Series trimestrales. B01_T42","Series trimestrales. B01_T43"
"DESCRIPCIÓN","PIB","PIB","PIB (desestacionalizado)","Demanda interna","Consumo","Formación bruta de capital fijo","Formación bruta de capital fijo","Exportación de bienes y servicios","Importación de bienes y servicios","Términos de intercambio","Cuenta corriente","Exportación de bienes","Exportación de bienes (volumen)","Exportación de bienes (volumen). Mineras","Exportación de bienes (volumen).Cobre","Exportación de bienes (volumen). Industriales","Exportación de bienes (volumen). Agrícolas","Importación de bienes","Importación de bienes (volumen).","Importación de bienes (volumen).Consumo ","Importación de bienes (volumen).Intermedios no combustibles  ","Importación de bienes (volumen). Combustibles y lubricantes","Importación de bienes (volumen). Capital","RIN","Reservas internacionales ","Deuda externa total","Deuda externa total","Posición de inversión internacional","Balance total Gobierno Central ","Deuda bruta Gobierno Central ","Deuda neta Gobierno Central ","Deuda bruta Banco Central ","Deuda neta Banco Central ","Deuda bruta consolidada ","Deuda neta consolidada ","Deuda bruta empresas públicas ","Deuda neta empresas públicas ","PIB mundial PPC","PIB socios comerciales"
"UNIDAD","millones de US$, últimos 12 meses","Variación c/respecto mismo periodo año anterior.","Variación c/respecto mismo periodo año anterior.","Variación c/respecto mismo periodo año anterior.","Variación c/respecto mismo periodo año anterior.","Variación c/respecto mismo periodo año anterior.","% PIB, últimos 12 meses","Variación c/respecto mismo periodo año anterior.","Variación c/respecto mismo periodo año anterior.","Variación c/respecto mismo periodo año anterior.","% PIB, últimos 12 meses","Millones de dólares FOB","Variación c/respecto mismo periodo año anterior.","Variación c/respecto mismo periodo año anterior.","Variación c/respecto mismo periodo año anterior.","Variación c/respecto mismo periodo año anterior.","Variación c/respecto mismo periodo año anterior.","Millones de dólares FOB","Variación c/respecto mismo periodo año anterior.","Variación c/respecto mismo periodo año anterior.","Variación c/respecto mismo periodo año anterior.","Variación c/respecto mismo periodo año anterior.","Variación c/respecto mismo periodo año anterior.","% PIB, últimos 12 meses","Millones de dólares","% PIB, últimos 12 meses","Millones de dólares"," % PIB ","% PIB, últimos 12 meses","%PIB","%PIB","%PIB","%PIB","%PIB","%PIB","%PIB","%PIB","Variación c/respecto mismo periodo año anterior.","Variación c/respecto mismo periodo año anterior."
"JUN2017","261250.49759788","0.688988253012752","1.13064544645073","3.57226145814112","3.6731484455725","-5.15817298279421","22.895325342614","-4.11857120953027","6.09858925577989","10.4851125535517","-3.402526241634","16393.4001316391","-5.37518878625002","-5.11487118863835","-5.05871821070872","-4.89636801955482","-8.65361187244996","14618.7775348255","6.97192172249506","18.9690456283592","2.22588807401721","4.63046494185129","0.864000020826799","14.924248717198","38914.87963394","65.039605644695","169590.34073089","-14.97023401642","-0.1","23.587923953844","1.2126799933782","11.642543825404","-3.397003208523","34.194359749353","-2.184323215145","9.333253716885","8.4981563332635","3.66474549582662","3.91418409722244"
"SEP2017","267580.98458637","1.86358178081834","2.43236763515418","1.36767671679484","3.22783886203305","-3.66418837106438","22.586466903241","2.54733333221251","1.25516493820981","12.2439167454626","-2.93396778811","17573.5610044529","2.23179449056348","1.17533486028323","1.33334870841096","3.80974263623715","2.72377952237856","15588.4713907872","2.18393469881062","8.59706224767295","-4.02453339338881","-1.16657012174128","5.21522730643229","13.665208421448","37737.88917297","62.787733568705","173394.83290418","-17.10617256242","-1","23.466388789615","2.6612885045893","10.754069797735","-3.515966940097","33.426567715825","-0.854678435508","9.1177172612302","8.1716905366315","3.98800932389187","3.83434656583543"
"DIC2017","276464.91883928","3.16241871017515","3.29932186425049","3.97674850731033","3.9566311159251","1.7116865609896","22.508052982375","3.07085059378151","6.04356467759427","8.77347688575285","-2.764695076064","19232.7854137562","3.49497043513388","7.4930618004643","9.10088570868403","2.58764045904353","-18.5789434991371","16581.7106758247","6.09859239163998","8.76099989087289","4.90854306123718","7.10562482786512","3.03955220329196","13.37473391636","38982.62751381","61.748905706033","179976.26013174","-17.76383072986","-1.6","23.651638853941","4.4215397787382","10.544275551827","-3.04769533309","33.800534123266","1.3738444456481","8.5577546177971","7.6494815695399","3.85828636451628","3.50178581710563"
"MAR2018","287951.95780144","4.38750849420788","5.07089878015423","3.67789461258243","3.70780589382224","6.78395305943909","22.639139336415","8.60420934205337","6.28063637999892","5.86590468731882","-2.468146777911","19406.8671292306","10.0491208830992","11.5642762421694","13.2544989538961","7.22416118870678","21.1878579424235","16423.0695556627","6.46355859819573","9.70594495049158","7.2651247508796","-2.80685413382911","6.00048828854435","12.62528498684","38103.82842734","60.746656789269","183336.86647433","-18.36450191489","-0.1","23.589275947919","5.007823924613","10.314177993044","-2.387925549072","33.7223919066","2.6198983755408","8.281041495203","7.3826461324927","3.69739445147385","5.33323987026437"
"JUN2018","297658.28882024","5.51513736257787","5.12236160909462","6.33612579843521","4.65855450409102","7.8593307874322","22.748077372097","8.0410439914498","10.8372978723697","-0.644682381067803","-2.676127783884","18949.6280388973","8.74743813797784","9.20954094127989","9.53194474791828","7.46973304060099","12.7653243177217","17514.1870071686","11.1119213770429","7.33006385071544","13.2614328311781","11.6009760616396","12.6225363822903","12.897811517543","36986.88722317","61.84826700009","177361.47511299","-18.48478138384","0","23.788323448373","4.6235012951535","9.950814660944","-3.042502009322","33.456614019287","1.5809992858306","8.8228387438544","7.6888826709072","3.94841425624061","4.25265194584143"
"SEP2018","297978.40390193","2.48128329532345","2.77535371265941","4.82857155930367","3.08017746863814","6.05120533720481","22.931632767441","1.23322107784173","9.58653450002789","-5.24727845201317","-3.499864763964","17621.6406489852","2.03172322182603","1.44770249325408","0.528051226548453","0.635907664545442","12.7489691454665","17838.1824371962","8.28871605379229","8.40183357057166","7.40508778131038","1.46588353804616","14.3812167551458","13.114856775101","37133.64801204","63.46252134935","179688.95658986","-19.7026740351","-0.4","25.097101101856","5.1874878029196","9.6604106560717","-3.598362307228","34.34642181203","1.5891254956908","8.7568979965479","7.5480447411029","3.61705531936564","1.13287489234761"
"DIC2018","296033.97219152","3.57494708038008","3.20652816768329","5.19592590024406","3.17488086306702","5.44447098171958","23.049792647373","1.97274516766434","7.7490033418869","-8.25813487429554","-4.561985219818","18859.9861302999","2.87433433653292","-0.893960761285829","-0.822586486881203","5.09445327551555","13.1068954742382","18654.1292189615","8.69043577299536","4.3639827792104","10.3549856740646","1.79035842233268","17.392840609058","14.638614346382","39860.62711512","67.654020151287","184220.41911062","-22.03543654863","-1.1","25.798027700547","5.7397808805372","10.540233240906","-4.160685486739","35.799312409855","1.5790953937974","9.323394495155","8.322461548689","3.13190004791825","2.17981099834834"
"MAR2019","290786.19525054","1.22415047502346","1.74435792274632","2.53828429998777","2.80823934714413","4.09088851115238","23.211566909584","-2.60867353698051","1.80262184317093","-2.39399680121798","-4.786028679988","18259.2139619428","-1.74420095832377","-2.94951819477848","-1.30750763703628","-0.835769613466884","1.51304982269211","16439.0008834595","1.62847498725123","-1.21680259330504","3.44960178864671","0.787227064867924","3.54223423607634","13.80180536408","38709.9864504","66.353738348992","186102.63256629","-20.48452700088","-0.2","25.820274512309","5.8334902149655","9.6740251371947","-4.201414853217","35.009195327184","1.8594506181936","8.8048633175691","8.14226058364","3.14213794892326","5.28172663606139"
"JUN2019","286243.14098151","1.37040957711579","1.64238540346706","1.97015206003633","2.30837921964216","4.96490755454741","23.406367292156","-4.15435952628976","-1.82530080057518","-2.6070842896735","-5.117898606504","17021.9701289006","-4.34196340613284","-4.99072254342159","-3.34052228054984","-3.5240737458254","-2.87424010468107","16330.4636966107","-2.91444279843974","-6.12480805859991","-5.21584471338277","0.0288271408098745","1.95979238252765","13.943307300778","39516.29461099","68.312915033146","193603.51299398","-19.55389475423","-0.1","27.204495041137","6.1026392607982","9.3928593750877","-4.710013381399","36.212306118547","1.3926258793991","8.8755704234232","8.3090062123454","3.35421778096489","4.39912926974824"
"SEP2019","285569.15674336","3.20578806311762","2.32014849686958","2.61795605877556","2.75333862888738","6.08002853672167","23.558985920354","0.9444566190283","-0.862421989054659","-2.35214154735062","-5.196576428726","16696.9533117242","1.3149169763163","2.49974545815941","4.79738548938981","-1.31629428387857","5.32115661309692","16826.1616369442","-0.706196139668107","-8.82187966468892","2.9929570888579","7.98578022175814","0.606786854582919","14.478685965647","38932.56511961","72.658184201581","195374.73874441","-21.24134093043","-0.8","27.800474548002","6.5184613684077","9.1302388937422","-5.514232712904","36.640124142861","1.0042286555031","10.057017882757","8.7971481482364","2.70345332893076","1.35904961801379"
"DIC2019","278980.21656762","-2.42481843445625","-2.83953911205737","-2.89737906104203","-4.51289028403234","3.65289572029194","23.938395667462","-4.19302631404291","-5.69475885014274","-0.673183377906015","-5.249230724466","16814.2089638232","-3.68918984997834","-4.14144215234934","-4.36122665881606","-5.26257329113872","10.1399599187044","16180.6059381156","-6.43407618882224","-14.7782904098973","-4.49058426709112","-0.971047067531902","-1.0036513226146","15.460381176625","40656.9457205","75.44297917508","198396.21509148","-16.61134663344","-1.7","28.28830744439","7.9815517394419","10.550331439259","-5.699799979486","38.502599064813","2.2817517599557","10.251953017787","9.3558461329232","2.07033634079847","-0.472875443964871"
"MAR2020","269315.67656385","-0.453020185148822","-0.585015227721763","-3.45023903896885","-2.88168985530697","0.595976304197667","24.000019149975","1.91716510791558","-8.32702490498345","-3.68198230640774","-5.379481272652","17215.1725815636","3.63373044778066","7.44119444052523","5.9023122140316","-2.01895767580557","2.70105654004844","14100.1834442134","-7.3079616538142","-17.7653196868232","-6.4183937483839","17.8192122483928","-10.7734092451238","16.227619639198","37952.46965559","84.261695174921","197067.68462394","-17.2466411147","-0.2","29.939815900484","5.3982013242967","10.928062498934","-6.158860866182","40.644945818979","-0.760659541886","11.908403929146","10.346891438515","-1.78960497719584","-14.484028486137"
"JUN2020","253732.4330558","-14.6527632907336","-14.2119132921559","-20.8710629847684","-20.7985580343049","-17.6052229681853","23.865727338422","2.52528846133607","-20.7031143277998","7.43621673484579","-3.845328902201","17643.3194564723","6.30691534404315","4.93581441998698","1.23456569651655","13.7349357321292","-13.9894944250043","11887.8741949591","-17.5141264984358","-35.9974344671899","-1.05758896839998","-28.5744074730259","-10.1802677583222","15.234011291328","36390.17002304","86.745771883894","207213.53865817","-15.46072814333","-2.2","32.683088148205","7.9580686270511","18.10461603533","-1.528680425248","50.310611869578","6.4293882018031","12.710977163496","10.699549362934","-7.80379202934963","-8.29635247761563"
"SEP2020","246848.08465043","-9.18060920104691","-9.87651155203359","-11.2669447130703","-8.90969397602728","-13.4630836967799","23.607460062048","-7.75981024173559","-14.8682093677856","15.5645380304168","-2.877494098456","17835.500792378","-2.55892802571702","-0.00182912215986495","-2.82136561136394","-3.8570433712841","-10.9744503808313","13875.1505266026","-12.0801801161418","-19.4558554863312","-8.39260764309713","-13.1398080637593","-7.25122380465332","15.235472107467","37821.70622131","84.223174876368","209082.07863403","-13.07843835623","-3.2","33.261538907942","11.610710818175","17.365513294658","-1.655363406559","50.525414063206","13.658614837645","12.213298285959","10.161900377245","-2.06754989649918","24.8199702401293"
"DIC2020","253527.77932681","0.353928377633283","0.114690712693168","-1.31927779166977","4.20322621440744","-7.26459835150752","23.081130761111","-1.21357170853211","-6.91914010900448","22.6173093123302","-1.672699609481","21391.7528079321","3.19531020838891","2.70868902082525","1.19135457570438","3.49414359760313","10.1400515309154","15246.7702754542","-3.39731795554367","2.45120942066289","-0.12318348442715","-8.00944206176742","-12.2798764613873","13.916381117707","39199.98271859","74.40696927855","209591.26407874","-10.78621746231","-1.7","32.527828337367","13.367965395078","14.954545836912","-2.486437949013","47.26206165803","10.881527446064","10.212262673016","8.8293997655903","-1.06668295542258","5.96412129625559"
"MAR2021","267284.65099649","-0.027741464321778","1.5363070447775","5.67449961607166","4.80921101484582","1.63794463689573","23.185236229815","-4.93600346724125","14.537042799136","22.1513531644582","-1.757479895037","22144.972313196","-1.9721618393466","-6.65774537571959","-7.47547982476347","-3.67417570873353","23.3400012608542","17999.6836225697","20.3229430475799","30.6676767573537","21.1967742701443","-8.76629453675585","29.1913251439078","14.339944761329","40220.14015159","74.979914296938","210300.85622851","-12.25506748091","-0.6","32.929204705377","14.158005473703","16.184003560227","-2.107109289362","48.898202175583","12.05089618434","10.349650668849","9.0517506700254","4.05348914118815","9.20064827316318"
"JUN2021","292469.62030944","18.9002225208616","18.202501200078","31.2734952885501","31.6615399686986","21.55816964761","23.268537649613","-2.50267124799627","35.4302171243933","17.3792492088038","-2.8840432193","23788.6024835039","-1.99797455502757","0.0109923452401947","0.700147704541961","-3.06586749468654","-7.49092272983181","19123.7604182964","38.0073517627392","83.1109412251787","20.6938581226283","28.4105166419521","27.6079172665287","15.205646882377","44954.35435229","72.690501490925","214904.01476151","-7.831332616591","-1.7","33.091068275098","15.570811761284","18.409219389662","-2.908519051633","51.25055838186","12.662292709651","9.6544638091845","8.4202082203159","11.2270757073263","2.56662796483687"
"SEP2021","309887.17056447","17.1624914669729","17.1999353249206","28.2317140799187","23.3038966037435","29.7058893982324","23.85664946369","1.13213597899945","37.3239932387816","10.210786561037","-4.504270865978","23462.6535942819","0.648118860603556","-1.07841695417065","-2.88613891219812","0.153484438573262","13.7709185418954","22529.7175072221","39.8360524812031","62.6976905015617","34.22339168972","30.9654532430003","24.9122667770663","18.606194567413","53309.04078134","81.769993351106","234281.10968368","-6.936717175947","-3.3","35.914889236991","18.138609024334","22.025979940503","-1.126518858905","57.17587877826","17.012090165428","10.248515416744","8.732464490252","4.74755262156976","-0.176939937873433"
"DIC2021","316802.27098021","11.9992951311774","11.7528552838297","22.9115146594146","14.956674000347","19.9208097237941","24.30381761991","0.592716123890817","38.4455831755024","2.21710805877045","-6.551598155052","25280.3342050918","-0.348012607483261","-1.50766589568787","-2.93310012415664","0.879838287696762","-1.84058135208962","24495.145018864","41.4478922485174","55.0558232479256","37.102149698981","15.7021062544279","40.0535050257214","18.136805414203","51329.82939638","84.44845226275","239001.55228223","-5.478779805561","-2","36.263804032119","20.126667756412","21.252623038831","-1.096432221292","56.526697469182","19.030235535119","10.294438819327","9.0130704111319","4.30041188722225","2.06668506310115"
"MAR2022","319036.02768566","7.40555640037973","7.10021370259284","12.6296844101192","13.6855106173085","7.26864187027218","24.297274290688","-1.68630208267313","15.2774011446637","-0.874132117344724","-7.426066046199","24585.7415148074","-2.85585186981428","-2.55819751757587","-3.16098173897085","4.62005466811782","-2.26210078556735","23200.2587961693","14.9069650299023","22.9561625556867","11.4139709252027","14.5262560698153","8.18527273901512","15.277398422735","48319.66283428","77.385844251317","244757.50379104","-11.89791083227","0.5","35.83878288775","19.502081664493","16.459948749147","-4.261946712456","51.707711247305","15.240134952036","9.2553763294937","7.9367983948893","4.81370676075636","6.25642442242498"
"JUN2022","315632.37241099","5.36164750937801","5.64882193454303","8.72225630820539","7.41224182910618","7.34465369719452","24.381678289136","-0.275206139126412","10.8637391506446","-9.0617027395301","-8.476508667675","25294.308352979","-2.70648956316855","-6.48629158139719","-8.27634484614407","-1.29280595557237","23.4308642606828","24804.3250395957","9.53491578561098","10.5325920685897","6.82934130849597","14.0970133719227","9.68445178526952","16.450480525068","45820.53612276","83.977824729576","233908.6050203","-10.24068311538","2.3","_","_","_","_","_","_","_","_","_","_"
