,Precio del petróleo WTI (dólares/barril)
Periodo,Serie original
2012-01-01T00:00:00.000,10029
2012-02-01T00:00:00.000,10221
2012-03-01T00:00:00.000,10615
2012-04-01T00:00:00.000,10328
2012-05-01T00:00:00.000,9468
2012-06-01T00:00:00.000,8236
2012-07-01T00:00:00.000,8790
2012-08-01T00:00:00.000,9411
2012-09-01T00:00:00.000,9451
2012-10-01T00:00:00.000,8952
2012-11-01T00:00:00.000,8668
2012-12-01T00:00:00.000,8819
2013-01-01T00:00:00.000,9474
2013-02-01T00:00:00.000,9527
2013-03-01T00:00:00.000,9291
2013-04-01T00:00:00.000,9202
2013-05-01T00:00:00.000,9476
2013-06-01T00:00:00.000,9579
2013-07-01T00:00:00.000,10470
2013-08-01T00:00:00.000,10655
2013-09-01T00:00:00.000,10625
2013-10-01T00:00:00.000,10050
2013-11-01T00:00:00.000,9389
2013-12-01T00:00:00.000,9785
2014-01-01T00:00:00.000,9486
2014-02-01T00:00:00.000,10073
2014-03-01T00:00:00.000,10057
2014-04-01T00:00:00.000,10208
2014-05-01T00:00:00.000,10186
2014-06-01T00:00:00.000,10524
2014-07-01T00:00:00.000,10294
2014-08-01T00:00:00.000,9638
2014-09-01T00:00:00.000,9322
2014-10-01T00:00:00.000,8440
2014-11-01T00:00:00.000,7581
2014-12-01T00:00:00.000,5926
2015-01-01T00:00:00.000,4727
2015-02-01T00:00:00.000,5061
2015-03-01T00:00:00.000,4778
2015-04-01T00:00:00.000,5444
2015-05-01T00:00:00.000,5927
2015-06-01T00:00:00.000,5980
2015-07-01T00:00:00.000,5090
2015-08-01T00:00:00.000,4286
2015-09-01T00:00:00.000,4545
2015-10-01T00:00:00.000,4620
2015-11-01T00:00:00.000,4270
2015-12-01T00:00:00.000,3723
2016-01-01T00:00:00.000,3154
2016-02-01T00:00:00.000,3039
2016-03-01T00:00:00.000,3777
2016-04-01T00:00:00.000,4096
2016-05-01T00:00:00.000,4673
2016-06-01T00:00:00.000,4875
2016-07-01T00:00:00.000,4469
2016-08-01T00:00:00.000,4475
2016-09-01T00:00:00.000,4520
2016-10-01T00:00:00.000,4989
2016-11-01T00:00:00.000,4557
2016-12-01T00:00:00.000,5201
2017-01-01T00:00:00.000,5251
2017-02-01T00:00:00.000,5340
2017-03-01T00:00:00.000,4958
2017-04-01T00:00:00.000,5106
2017-05-01T00:00:00.000,4850
2017-06-01T00:00:00.000,4517
2017-07-01T00:00:00.000,4665
2017-08-01T00:00:00.000,4803
2017-09-01T00:00:00.000,4983
2017-10-01T00:00:00.000,5156
2017-11-01T00:00:00.000,5665
2017-12-01T00:00:00.000,5794
2018-01-01T00:00:00.000,6367
2018-02-01T00:00:00.000,6217
2018-03-01T00:00:00.000,6276
2018-04-01T00:00:00.000,6632
2018-05-01T00:00:00.000,6998
2018-06-01T00:00:00.000,6752
2018-07-01T00:00:00.000,7084
2018-08-01T00:00:00.000,6799
2018-09-01T00:00:00.000,7021
2018-10-01T00:00:00.000,7075
2018-11-01T00:00:00.000,5667
2018-12-01T00:00:00.000,4895
2019-01-01T00:00:00.000,5152
2019-02-01T00:00:00.000,5495
2019-03-01T00:00:00.000,5815
2019-04-01T00:00:00.000,6387
2019-05-01T00:00:00.000,6084
2019-06-01T00:00:00.000,5468
2019-07-01T00:00:00.000,5752
2019-08-01T00:00:00.000,5484
2019-09-01T00:00:00.000,5695
2019-10-01T00:00:00.000,5398
2019-11-01T00:00:00.000,5706
2019-12-01T00:00:00.000,5980
2020-01-01T00:00:00.000,5752
2020-02-01T00:00:00.000,5053
2020-03-01T00:00:00.000,2988
2020-04-01T00:00:00.000,1652
2020-05-01T00:00:00.000,2856
2020-06-01T00:00:00.000,3830
2020-07-01T00:00:00.000,4075
2020-08-01T00:00:00.000,4236
2020-09-01T00:00:00.000,3960
2020-10-01T00:00:00.000,3953
2020-11-01T00:00:00.000,4110
2020-12-01T00:00:00.000,4705
2021-01-01T00:00:00.000,5210
2021-02-01T00:00:00.000,5906
2021-03-01T00:00:00.000,6235
2021-04-01T00:00:00.000,6171
2021-05-01T00:00:00.000,6518
2021-06-01T00:00:00.000,7138
2021-07-01T00:00:00.000,7246
2021-08-01T00:00:00.000,6773
2021-09-01T00:00:00.000,7156
2021-10-01T00:00:00.000,8132
2021-11-01T00:00:00.000,7918
2021-12-01T00:00:00.000,7153
2022-01-01T00:00:00.000,8312
2022-02-01T00:00:00.000,9174
2022-03-01T00:00:00.000,10849
2022-04-01T00:00:00.000,10178
2022-05-01T00:00:00.000,10960
2022-06-01T00:00:00.000,11459
2022-07-01T00:00:00.000,9985
2022-08-01T00:00:00.000,9157
2022-09-01T00:00:00.000,8387